City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,47.01,78,9,1.99,NZ,1699519335
1,waitara,-38.925,174.25,55.49,74,90,15.48,NZ,1699519335
2,yemetsk,63.4721,41.7941,32.31,88,100,5.59,RU,1699519336
3,maun,-19.9833,23.4167,94.71,23,0,9.26,BW,1699519336
4,trail,49.0998,-117.7022,44.98,92,86,1.12,CA,1699519336
5,waitangi,-43.9535,-176.5597,49.33,71,100,25.88,NZ,1699519336
6,opuwo,-18.0607,13.84,90.52,13,0,1.54,NA,1699519337
7,la mana,-0.9333,-79.2167,73.53,93,100,0.49,EC,1699519337
8,la'ie,21.6477,-157.9253,78.76,75,23,5.99,US,1699519337
9,sao vicente,-23.9631,-46.3919,80.28,26,87,4.76,BR,1699519338
10,klyuchi,52.2667,79.1667,43.68,48,9,9.26,RU,1699519338
11,iqaluit,63.7506,-68.5145,29.93,74,75,17.27,CA,1699519339
12,pariaman,-0.619,100.12,82.45,91,100,3.15,ID,1699519339
13,likiep,9.8251,169.3107,82.56,83,100,22.03,MH,1699519340
14,ushuaia,-54.8,-68.3,38.86,97,75,5.01,AR,1699519340
15,puerto ayora,-0.7393,-90.3518,75.54,97,94,5.01,EC,1699519340
16,ribeira grande,38.5167,-28.7,68.77,94,75,15.99,PT,1699519341
17,st. john's,47.5649,-52.7093,44.28,99,100,8.05,CA,1699519197
18,keflavik,64.0049,-22.5624,39.63,75,0,14.97,IS,1699519341
19,jiangzi,28.95,89.6333,40.69,18,52,3.38,CN,1699519342
20,port-aux-francais,-49.35,70.2167,43.07,96,100,41.03,TF,1699519342
21,velyka mykhaylivka,47.0794,29.8514,53.15,57,95,14.9,UA,1699519343
22,blackmans bay,-43.0167,147.3167,64.53,85,11,2.84,AU,1699519343
23,puerto baquerizo moreno,-0.9,-89.6,75.92,84,83,13.6,EC,1699519343
24,victorica,-36.2151,-65.4359,55.0,38,28,9.69,AR,1699519344
25,adamstown,-25.066,-130.1015,72.18,87,100,17.11,PN,1699519344
26,grytviken,-54.2811,-36.5092,36.72,92,100,4.47,GS,1699519344
27,puerto natales,-51.7236,-72.4875,29.79,94,32,4.63,CL,1699519346
